timestamp,user,ip_address,event_type,resource,failed_logins_last_1h,event_hour,label
2025-07-09T05:16:22.130801,user_1,47.172.78.228,login_failure,wp-content,1,5,0
2025-07-10T16:12:31.693557,user_8,203.75.32.207,file_access,tag/app/wp-content,2,16,0
2025-07-07T05:00:25.453382,user_4,58.217.105.169,login_success,tags,0,5,0
2025-07-08T11:12:53.326303,user_18,42.55.219.177,login_failure,tag/search/wp-content,0,11,0
2025-07-11T01:56:13.391192,user_14,70.48.153.229,login_success,list/tags,3,1,0
2025-07-11T17:38:43.242164,user_3,211.254.147.111,login_success,app/search,2,17,0
2025-07-09T01:23:22.180145,user_17,178.57.203.186,login_success,list,0,1,0
2025-07-03T01:07:21.165244,user_18,173.119.48.93,login_failure,categories,0,1,0
2025-07-03T19:08:58.789631,user_18,193.83.71.101,login_success,category/blog,0,19,0
2025-07-10T03:44:04.126242,user_15,200.175.62.248,login_success,blog/main/category,1,3,0
2025-07-14T11:18:27.262425,user_1,202.112.113.102,login_failure,search/posts/app,0,11,0
2025-07-11T22:55:41.161833,user_6,132.60.111.32,file_access,posts,1,22,0
2025-07-12T18:34:17.443909,user_11,159.243.103.172,login_failure,list/tags,0,18,0
2025-07-01T18:30:46.581213,user_7,80.208.194.47,login_success,tags/list/category,0,18,0
2025-07-02T22:02:04.703868,user_13,10.46.139.173,anomaly_event,main/blog/tags,6,22,1
2025-07-05T09:35:43.435930,user_12,198.50.128.185,login_success,list/app/blog,1,9,0
2025-07-09T20:29:41.638258,user_2,195.92.86.245,login_failure,category,0,20,0
2025-07-06T03:35:40.764867,user_18,144.219.93.184,file_access,posts/categories/main,3,3,0
2025-07-09T00:11:14.050862,user_13,205.151.94.180,login_success,tag,0,0,0
2025-07-11T01:34:58.996897,user_10,199.0.74.245,login_success,search/app/explore,1,1,0
2025-07-12T19:25:08.553659,user_20,143.106.112.170,privilege_escalation,explore/main/tag,0,19,0
2025-06-30T15:59:44.423935,user_12,194.131.121.13,config_change,tag/categories/search,1,15,0
2025-07-12T17:09:18.221246,user_3,174.205.250.139,login_failure,search/explore/tags,1,17,0
2025-07-06T04:47:42.708753,user_8,215.238.215.195,login_success,main,1,4,0
2025-07-04T16:47:23.888543,user_3,205.195.1.85,file_access,main,1,16,0
2025-07-10T05:54:06.866727,user_4,66.2.171.126,config_change,app/wp-content,0,5,0
2025-07-09T15:54:40.200672,user_15,62.64.61.254,login_success,tags,5,15,0
2025-07-11T17:46:41.109106,user_12,91.150.87.180,login_failure,tag/tag,0,17,0
2025-07-10T13:32:47.300900,user_12,200.100.199.167,login_success,categories,0,13,0
2025-07-10T13:14:09.810620,user_9,76.44.97.251,login_success,tag/tag/search,0,13,0
2025-07-03T09:00:34.156455,user_3,113.145.8.190,file_access,list,0,9,0
2025-07-14T14:49:15.079063,user_6,13.228.26.238,login_failure,categories,1,14,0
2025-07-06T21:54:35.898584,user_8,17.224.87.90,login_failure,categories,1,21,0
2025-06-29T15:51:18.370343,user_13,157.30.219.110,login_success,tag/explore,0,15,0
2025-07-14T13:25:52.805583,user_18,201.242.89.253,login_success,search,1,13,0
